Lon (deg),Lat (deg),Alt (m),Timestamp (ms UTC Unix),Time,Position Source,SEE_label
-73.126741,-81.40703111,612227.4427,1524786777562,2018-04-26 23:52:57,onboard,1
89.15093005,66.9777669,604010.8608,1524766895243,2018-04-26 18:21:35,onboard,1
-113.5449838,48.7788398,592710.6405,1524765887630,2018-04-26 18:04:47,onboard,1
-60.47138336,33.3477612,586505.079,1524754038278,2018-04-26 14:47:18,onboard,1
-50.24501882,-14.66978249,589202.3435,1524753263825,2018-04-26 14:34:23,onboard,1
-78.48867874,81.8420434,602227.4449,1524743297040,2018-04-26 11:48:17,onboard,1
-160.2083273,50.23253273,603348.1196,1524738180182,2018-04-26 10:23:00,onboard,1
-59.74197985,-35.28462278,616267.289,1524710575244,2018-04-26 2:42:55,onboard,1
-58.07912858,-28.7613116,601148.5628,1524710468717,2018-04-26 2:41:08,onboard,1
-57.72401236,-27.24292827,612217.3217,1524710443993,2018-04-26 2:40:43,onboard,1
-56.55068855,-22.11771535,611135.1992,1524710360581,2018-04-26 2:39:20,onboard,1
-71.09750457,-18.67786128,591886.383,1524672012791,2018-04-25 16:00:12,onboard,1
-45.70553031,-24.23472045,593800.7002,1524666123894,2018-04-25 14:22:03,onboard,1
-45.15077854,-26.66796034,583476.399,1524666084497,2018-04-25 14:21:24,onboard,1
-44.6177356,-28.88478997,596333.2881,1524666048522,2018-04-25 14:20:48,onboard,1
-19.65580508,-32.10915627,598267.7451,1524660197207,2018-04-25 12:43:17,onboard,1
-57.57536452,-36.38015718,616208.3074,1524623607576,2018-04-25 2:33:27,onboard,1
-52.96658084,-16.96188134,608522.3098,1524623291195,2018-04-25 2:28:11,onboard,1
-51.52749813,-10.04889847,606692.111,1524623179037,2018-04-25 2:26:19,onboard,1
-52.66646006,-26.68269945,612838.1405,1524536463621,2018-04-24 2:21:03,onboard,1
-31.50773124,-38.37776931,617158.1746,1524530855718,2018-04-24 0:47:35,onboard,1
-68.19121404,-8.999126123,588078.707,1524498198242,2018-04-23 15:43:18,onboard,1
-66.86001869,-15.45121798,590695.9529,1524498094133,2018-04-23 15:41:34,onboard,1
-65.01573883,-23.92896645,594315.3199,1524497957053,2018-04-23 15:39:17,onboard,1
-43.53476728,-11.40786789,588866.2657,1524492360398,2018-04-23 14:06:00,onboard,1
-42.93913405,-14.28496652,591306.7703,1524492313967,2018-04-23 14:05:13,onboard,1
-42.58682239,-15.96589069,590870.7729,1524492286832,2018-04-23 14:04:46,onboard,1
-41.76962944,-19.78417688,592650.7621,1524492225129,2018-04-23 14:03:45,onboard,1
-51.8585848,-33.41504387,614575.9942,1524449587799,2018-04-23 2:13:07,onboard,0
-28.2506612,-35.51065968,617398.4727,1524443823119,2018-04-23 0:37:03,onboard,0
-87.05178038,-22.43858954,593830.3809,1524416794850,2018-04-22 17:06:34,onboard,0
-40.12866592,-15.96346829,579455.665,1524405301469,2018-04-22 13:55:01,onboard,0
-39.10171379,-20.72525711,593706.1164,1524405224486,2018-04-22 13:53:44,onboard,0
-37.58385401,-27.40093737,599041.2146,1524405116354,2018-04-22 13:51:56,onboard,0
11.86006617,-73.21062088,610025.7196,1524398553698,2018-04-22 12:02:33,onboard,0
-145.5078538,-31.26764509,615033.1273,1524385763478,2018-04-22 8:29:23,onboard,1
-70.0599109,-18.4542274,610100.744,1524368157482,2018-04-22 3:35:57,onboard,1
-47.35939173,-25.04142215,613074.0526,1524362465555,2018-04-22 2:01:05,onboard,1
-22.21754548,-20.68517906,609874.55,1524356595752,2018-04-22 0:23:15,onboard,1
107.161793,71.63478914,601505.0105,1524331886625,2018-04-21 17:31:26,onboard,0
-90.39034376,65.91715411,601296.3995,1524291392759,2018-04-21 6:16:32,onboard,0
-48.6387548,-39.61614564,617381.9909,1524275717975,2018-04-21 1:55:17,onboard,0
-44.94509158,-25.25727397,611469.3241,1524275483409,2018-04-21 1:51:23,onboard,0
-58.23698724,-21.20291348,594811.8249,1524237044972,2018-04-20 15:10:44,onboard,0
-48.39049429,-54.09369627,613154.5278,1524236507505,2018-04-20 15:01:47,onboard,0
-129.2517025,79.77258931,600447.846,1524221545661,2018-04-20 10:52:25,onboard,0
-68.09424005,-31.33307822,602605.1905,1524194395805,2018-04-20 3:19:55,onboard,0
-67.62716784,-29.40907202,613187.6133,1524194364437,2018-04-20 3:19:24,onboard,0
-66.61579818,-25.12823365,612055.6807,1524194294686,2018-04-20 3:18:14,onboard,0
-45.440825,-37.04485672,614030.8073,1524188690203,2018-04-20 1:44:50,onboard,0
-58.27780943,-9.315898875,591685.8649,1524150251765,2018-04-19 15:04:11,onboard,0
-57.56666395,-12.78400215,592256.7393,1524150195686,2018-04-19 15:03:15,onboard,0
-56.55817492,-17.58544187,595382.8844,1524150118110,2018-04-19 15:01:58,onboard,0
-55.14479756,-24.01949573,597681.7329,1524150013988,2018-04-19 15:00:13,onboard,0
-54.97022874,-24.81477656,585115.8369,1524150001118,2018-04-19 15:00:01,onboard,0
-54.88415538,-25.16020174,598777.4315,1524149995490,2018-04-19 14:59:55,onboard,0
-31.56203864,-21.41798149,595310.7512,1524144257141,2018-04-19 13:24:17,onboard,0
-178.2240698,-78.64678538,627580.6197,1524125616201,2018-04-19 8:13:36,onboard,0
-64.97879779,-28.63667818,614836.5194,1524107366208,2018-04-19 3:09:26,onboard,0
-64.97879779,-28.63667818,614836.5194,1524107366208,2018-04-19 3:09:26,onboard,0
-64.22525424,-25.44135659,612241.0226,1524107314147,2018-04-19 3:08:34,onboard,0
85.30877248,82.4538828,586566.4802,1524093855788,2018-04-18 23:24:15,onboard,0
84.27674505,81.66154039,599974.7854,1524088113420,2018-04-18 21:48:33,onboard,0
179.5611372,79.32954745,597037.8915,1524082135478,2018-04-18 20:08:55,onboard,0
-80.15577293,-8.447120927,591295.2942,1524069079322,2018-04-18 16:31:19,onboard,0
-56.90668007,-3.910450387,589487.8409,1524063353636,2018-04-18 14:55:53,onboard,0
-54.79486582,-14.2762594,591995.3512,1524063186203,2018-04-18 14:53:06,onboard,0
-54.25294498,-16.85070142,593863.6441,1524063144598,2018-04-18 14:52:24,onboard,0
-119.0423141,82.22753565,597872.8787,1524053291577,2018-04-18 12:08:11,onboard,0
-61.61932762,-24.81968658,611862.7839,1524020318332,2018-04-18 2:58:38,onboard,0
-44.50318351,-49.34646012,622611.7309,1524014921278,2018-04-18 1:28:41,onboard,0
-38.28886937,-28.342881,612561.335,1524014576764,2018-04-18 1:22:56,onboard,0
-38.28886937,-28.342881,612561.335,1524014576764,2018-04-18 1:22:56,onboard,0
